STANDARD,10ST,20ST,FAST ,slow 7b,reverse
8.28322222,1.080834794,5.425607176,6.21224746,5.723430456,10.01556497
-7.258527252,-1.122034372,24.02597145,-3.406557781,4.358991885,0.453840948
-12.16766092,-11.27658296,27.01958586,-3.880715453,4.489905924,2.848799839
-24.28144013,-22.16069836,-10.01280838,18.99353578,-17.20485347,6.102192371
0.379232756,-0.694613152,7.171556721,4.525550205,3.953885573,7.490843062
-0.43737978,-0.187766598,5.673149648,3.637233983,5.912759138,3.680451356
1.325713719,-2.298152911,2.318189824,3.381066651,4.173211105,6.670127474
32.48623638,0.228040346,-2.844946325,14.549385,29.71620108,10.53224269
8.981639647,0.845432,6.411621404,7.446115758,8.731338959,8.546471949
4.961896502,0.441031983,93.52833095,4.452344895,10.14895526,6.935744183
1.148362974,-3.915737401,1.558729793,4.110016018,11.98383824,9.408040349
5.063277276,-4.09314375,4.609798527,10.80921812,12.32784886,9.73767711
47.74428764,-1.225515833,3.78089432,23.5348558,59.26182438,55.83943413
46.24191576,3.505471034,5.788318704,26.6256743,48.58986278,46.7935882
686.431361,0.587535156,16.60010105,428.604401,435.1590046,409.4560709
6.975461825,0.281933517,7.010907744,6.587058788,5.04945985,6.374195476
8.122053902,-0.696220992,-5.086775538,6.720863257,12.10304602,4.950737603
226.7521828,-2.290570419,7.760448635,84.43963219,165.6977845,135.8802238
332.2664894,1.671778459,5.998489304,202.5449347,244.1184666,156.7414235
4.968832222,-1.022273056,1.452703194,4.604512562,6.988278342,6.48345964
24.54877837,5.011417595,7.918385008,9.70972452,12.01027302,12.8063774
96.05064154,4.88745904,10.04099079,63.60072877,93.81926971,31.43087114
4.992800064,1.405878816,8.829383802,6.111438303,9.800337788,3.614118314
6.416176286,1.192174121,8.24751142,4.089813666,5.425197093,7.089927477
11.38664279,3.741878514,4.386495207,1.219794092,23.20851179,22.75616466
121.0106743,93.44340341,31.11940495,106.6765994,120.515089,53.93058036
10.1379103,7.482056274,1.468775189,14.28786842,9.57549513,4.206354016
34.82357881,6.663271776,7.976996289,40.31770308,41.50269506,31.15152408
314.8624365,14.23592656,3.686824125,98.55914557,311.1437058,190.7849863
-12.07331368,-12.81248703,2.449878976,-1.7432975,4.695826297,8.308807027
13.29831665,0.523322923,2.245476382,12.74233056,15.77433284,9.301257781
4.750141861,2.982126296,-0.854724082,3.772791073,11.20219336,7.519390282
0.834469179,8.216342859,5.725958349,10.71551615,11.0250853,14.16519386
2.767483934,3.9088499,7.090636463,9.007574335,30.43389897,30.95895441
5.509013592,6.57281894,12.41256118,4.03689045,15.31874827,-1.857749758
2.812947913,-5.510176461,8.121022613,10.65226707,3.874299428,-0.276878611
-12.23699239,-8.621947499,4.635903274,5.431280558,-10.55746506,8.58680442
1.683357328,2.744447713,7.194380352,5.125580474,6.38368304,9.037294585
19.9321476,11.07796395,5.060646951,0.174028399,7.47715031,11.13494932
2.386225295,6.808447024,7.301736536,5.530986851,3.263378868,1.177089187
6.905127318,0.800651487,7.41472363,-1.075668692,1.097199553,4.715796317
0.856353226,-6.641002747,5.626145008,0.612846265,2.567976895,5.247270991
1.998573466,-2.069831022,3.002878952,3.831052497,2.625505685,0.186335417
-7.621058211,0.658222257,4.736481217,7.398757435,4.650113825,5.862094709
-1.883581432,4.808313471,7.431088211,12.24467636,5.301956872,1.211094984
62.34884421,83.08869564,55.39701104,44.19653099,31.5690759,11.09547961
2.255762594,2.364482025,6.236587765,6.1444336,2.195035071,-1.051770935
10.81007685,4.769838984,8.575540512,5.204061215,7.085478723,4.291607982
11.74976224,14.86644325,3.868390509,15.35258591,1.233914631,6.225116618
-2.799980196,2.75899633,-1.444160958,9.521757271,3.26215026,12.90701146
3.415811306,16.60525412,4.157902911,14.21426035,3.72551265,1.350185364
10.36146909,1.149314104,6.082334479,11.28397934,7.849779956,14.25034118
432.0667684,1.707157684,3.387542478,376.3590134,568.9202296,502.7139267
8.046878518,4.132185425,115.6427331,6.284063427,7.198878351,3.753352414
4.973814614,7.75192098,12.51492368,11.36549207,17.54815667,16.25717727
-8.905817696,3.738202967,-0.510316625,30.75661299,-10.96094824,14.17084786
7.661383026,-6.987971737,13.02900203,10.24368791,8.855259394,14.73096323
0.262423902,-4.084876856,6.319175799,6.686943175,9.989957073,11.79829789
21.26721293,1.924998571,-1.291811236,17.74651652,21.44718582,18.28269245
4.660801802,5.159204651,2.613104901,15.49700611,17.31098758,13.35870341
4.926041362,5.579154444,2.886072591,4.543770238,10.02475952,7.116488555
1.782697728,-3.546483501,0.108093825,4.777629064,6.143000519,2.767309615
4.059634177,7.555480052,0.691738988,9.653626655,7.169541586,13.37760009
63.03498077,15.30608082,10.36713903,38.98515041,65.27532433,67.7139683
6.250812429,-1.740919727,7.753454434,13.00739961,11.39438646,12.72975418
-4.118563249,1.992220212,1.770122615,1.171332639,10.90442595,-1.974265081
153.2030324,62.19872174,42.81276763,72.67861196,83.00713992,66.38663298
32.72325458,19.84777405,22.32136263,27.89745609,29.90069222,28.7444543
-1.5834725,3.219583492,4.825724239,5.300631196,7.03189183,6.224804865
2.514990573,5.201017275,7.010812401,5.910548649,4.002972473,1.437270324
3.527339743,0.56171639,10.21107815,2.019899799,0.043697056,3.106632736
11.27709084,11.51509097,5.6165679,14.91252015,10.58586784,-1.689185935
-7.146986003,-0.319779429,-18.59188248,35.38397977,-15.00602918,-21.09797849
-13.7545021,-6.206779629,-0.136533551,-4.61866234,-7.810987661,4.949491405
12.61985005,4.380009799,5.951506442,6.907723596,9.308932226,5.447228925
0.897270344,0.374601319,-3.918090712,2.11462172,2.383033701,0.111615671
26.97239068,12.92839709,5.65397908,3.278582099,-7.247759424,2.163445923
2.834272491,1.345453184,-0.980019225,5.627985764,9.925250991,5.932524026
23.61019239,7.407677373,7.351363701,22.20779632,29.57719138,31.07519237
8.704361693,6.401597907,10.96485717,6.636929054,8.333888371,11.04726816
18.84956382,5.909003323,9.998585334,13.1392446,21.28638245,12.19240301
26.1496058,12.19744218,14.16541382,20.61165062,30.72189633,38.21262049
1.393644222,-2.234748778,3.747057784,3.420809011,2.969887172,2.225872282
3.576006048,4.179943682,12.01074837,8.795520566,6.225569182,6.949324068
6.522392823,75.33883735,24.92709572,4.010281832,9.707651307,8.602725126
11.23376959,-3.265955234,-2.370400933,10.20099886,14.47544997,12.28318605
