STANDARD,10ST,20ST,fast,slow,reverse
-11.67798814,-11.45724729,-14.48911299,-10.13693291,-10.13779038,0.573348336
7.81854893,0.950305205,-1.305398335,2.00526036,5.735890405,5.886939844
14.40593126,13.40219292,1.611524263,5.727203187,3.32968512,5.007861459
8.159287237,-0.227681613,9.210336956,3.736978707,4.183117742,6.20006971
7.823206784,1.656873494,4.586227655,7.948610363,5.193629629,2.623541417
20.5974507,7.357324237,2.344512126,7.676532979,9.269829729,4.755508989
15.0068144,4.313794438,4.559960935,5.263794999,1.553639924,4.824243467
18.69979055,3.480388926,2.764012063,6.136705729,14.13581018,5.828972532
84.33951924,27.64865101,5.642680825,6.209656959,32.34563538,3.488059397
148.2610999,223.2893199,58.81359198,20.16337507,2.137956603,10.94403102
33.61745799,7.279322953,8.015737748,10.57629582,9.105383772,7.606596261
-7.546316731,-8.246047893,-5.320496562,-0.065793434,6.940110565,-6.193456836
35.35397012,3.358046818,6.294049407,7.909454021,3.377397063,5.834337955
8.430962533,5.387001597,0.752573666,8.193114152,4.005776032,4.995409776
6.511643552,0.568186669,-3.132673037,-0.928407461,-1.307682417,-0.976074825
7.014845075,0.712403901,3.266939662,-0.679430621,-3.026111834,3.128164649
12.47409142,3.049049662,4.399886394,5.220418609,2.978952222,2.999829414
9.471587839,-0.431951406,-2.330852526,3.577347378,2.159904533,2.162748632
10.13216326,-14.10772639,-7.458398501,-1.317682572,29.91111377,14.80299925
2.672777654,-11.63671546,7.539249609,-16.78399996,-23.45674189,-2.973835751
22.60239359,-5.199613922,-7.215969831,35.23598797,54.81325787,19.33448504
4.107741367,2.686583847,-0.192913042,4.499836959,11.27383758,-3.744377892
12.90725998,2.899676424,-0.217885154,10.0979274,6.436612617,4.883793495
33.18984521,0.925420214,2.384617987,2.987866769,5.060578441,9.264743539
37.40323628,14.03287607,3.299395672,7.969051736,14.035681,9.072221986
55.39525923,15.41753676,6.537425656,20.26916886,19.46423079,17.11096156
23.72956076,18.5598876,118.6231124,1.435077602,6.209171367,6.96284429
27.7287505,9.293753179,1.022646919,3.473172771,9.070135589,5.708424163
43.38147398,10.1968112,8.049960828,4.143694774,4.033022229,3.283923727
7.506616972,8.849828904,5.542772047,15.51237904,-1.58017444,24.89060249
7.499690234,1.448667953,0.401012871,3.696772304,0.793170571,4.474565202
16.87863163,13.44268741,5.72882405,6.36744333,3.007660765,2.742774958
14.1113419,7.685337218,9.598336016,6.218542743,-0.751296921,4.376364653
13.57493372,-36.49739998,-20.27066524,-8.746305576,22.34542609,23.99507836
10.32452773,2.138563675,5.476016741,5.9718378,6.113621451,0.471105016
361.1446426,59.03409478,6.691710652,238.6981677,130.5500997,37.0123213
10.16091346,5.537787214,-2.53614591,4.606385887,-0.028149069,2.501557847
93.52979263,-0.037277185,60.25495772,11.71617494,6.832653082,72.48945485
5.966095243,3.939350103,4.961551764,3.026400745,-0.286049871,3.618807062
5.582377341,1.529340155,2.171254794,4.46018764,1.66127917,1.897876338
8.490666728,3.192247582,5.386496846,0.546767877,1.419303373,3.942443232
12.08585574,3.260504363,5.00020416,4.59236615,1.671379138,4.201675785
4.926266041,3.697667555,-1.470527469,1.094089863,0.728940751,8.812350087
6.47860688,4.063378698,1.462624712,0.618733986,2.692583365,0.762653362
7.957610835,2.297603256,2.129822611,-3.206842292,3.034332363,4.0453692
12.098022,8.136290364,4.712594971,1.708781138,-0.028760144,5.122635972
33.64518986,2.605198504,-3.98914679,3.721300087,14.79736504,5.062933361
93.7993132,45.74075404,31.03194736,29.55648994,38.74297714,14.68720192
32.02994878,7.047579253,3.445891043,8.705193464,3.384405303,13.00138054
15.66866166,7.72690176,1.27244752,10.10765989,4.883568328,8.214049224
19.4847836,11.30350358,5.095445042,5.504456348,1.686325157,6.826439393
15.40984355,7.593358898,-10.67063836,38.05015389,-2.80982288,66.46048289
14.95143151,34.84173842,-1.529599573,113.5725294,3.649309349,1.807264363
22.36559555,6.360027705,0.411514654,12.5359641,7.656631373,5.652332844
34.98879617,7.947384345,3.171737183,20.03841534,9.282985089,11.05459872
20.35076118,5.094400208,2.205574204,9.035007527,7.715890661,4.192958715
21.31963452,-6.320387568,49.37498973,35.97368733,6.520385628,9.094423236
142.2941878,16.46935427,7.703471013,28.78114823,20.42386158,10.60509074
35.19127532,4.981143443,5.0153937,7.028166373,11.69092124,3.518622568
42.9775531,5.916953498,1.758598757,9.489551569,14.39152935,11.53401796
43.93270577,18.53686268,11.70992886,7.562608694,15.47685642,5.610439351
30.09751336,8.991589256,10.04200792,-0.471524755,6.271212086,7.6268727
33.96110187,8.281078659,-1.13686281,4.732414965,16.09768423,11.68671812
19.83910953,3.70459561,1.809850627,6.105298028,8.700367516,4.36915944
28.28892988,5.057292649,6.818428928,1.103528454,5.829116053,6.225131543
245.7541332,19.94453026,7.442141441,117.5107946,242.233649,52.87349439
31.83951497,10.72364337,19.00865489,16.204765,12.31246934,6.315095036
27.88275107,3.682649537,14.39336975,5.631915325,3.487299916,5.743970245
8.576367951,2.673584938,5.106084444,1.129706833,-2.045036538,3.713049713
90.69185332,79.4811539,10.67074709,21.65939042,36.24537345,14.73478547
17.6837085,3.466289455,2.225702936,9.385881132,6.809610346,1.949204864
82.88305212,72.28943199,12.0041374,17.04444446,20.84185655,12.80486906
22.63153886,4.368091326,3.179196206,3.742963621,5.593873992,3.293786966
49.43805345,13.63319881,13.6411321,13.99914401,18.49363878,7.262691667
24.59846497,11.8743496,10.74308566,15.92526218,11.75884736,3.177578896
67.06664071,2.360200531,-1.936727579,13.14626609,33.83457347,4.936199875
8.15248291,-0.264183761,3.770223876,4.34947815,5.616684299,6.146073883
249.8554967,51.72474193,72.12952183,375.8782285,47.72565193,8.46925683
167.7134757,1.117398611,39.71589301,86.98164132,84.04273852,57.343919
93.26210093,9.670769263,221.984238,30.33713538,25.88851462,14.28937358
21.82880487,6.890576552,10.91718467,9.953341241,5.320977173,4.545346957
22.02926353,2.018965955,263.7631131,6.075812044,5.734026062,7.030374664
11.35940227,0.708216302,2.323530041,2.751299257,7.885008835,6.222058254
30.4404722,7.395668495,5.185598014,17.42516314,13.36367057,5.85948754
21.84736008,6.221308239,2.926529253,9.734738212,7.212507637,10.32431335
66.38672055,5.899431554,6.577679414,6.898944973,15.83683139,12.50048169
174.0555284,12.78716765,9.558178609,122.4838468,125.1934332,75.9039761
218.0732554,3.44316544,4.794619714,10.10634486,50.20055174,79.14081306
60.89172678,6.731634534,25.43328619,34.46778874,14.20161127,13.89237437
24.22789792,7.209812045,4.373802985,18.25711824,8.070141223,5.416186494
24.44149295,39.83971339,17.45994596,7.811542448,4.11367678,11.35854656
20.68056296,13.50528457,4.243372646,8.273609127,7.313932283,9.134642858
97.4445598,102.3836549,99.88037823,38.36693242,9.568449031,15.54708243
21.40634679,10.75257174,8.142692287,6.751133585,4.299974285,7.64202965
15.89324657,375.026029,70.1534032,14.85522056,2.321295193,5.072021515
68.10882075,248.3866017,15.88520479,9.458637711,5.966931432,6.094724125
32.41217051,18.24217785,15.57341442,17.83107523,10.16034262,18.81980863
17.83319063,10.72145771,5.360183688,10.40474143,5.277796151,5.310909797
17.35624343,1.148953591,6.435560699,3.956739449,4.074668963,25.61687744
22.01110428,5.6708221,13.72850272,12.97161969,7.06841016,2.016416455
17.00380905,34.7151432,13.5389106,7.100170333,-0.074380961,2.556890041
13.55826549,7.374462783,7.131114751,7.483891392,1.238153261,12.57539816
13.45690662,1.561415284,5.118828585,10.18184596,5.703167172,4.397525062
27.2058798,13.84728076,13.00404531,20.58846938,6.83730757,8.648169337
120.4050955,28.67404013,28.37728968,39.39489468,40.77303105,16.62740448
10.4335835,4.418218287,-0.845221851,8.253386618,6.670516004,1.982496166
13.73455135,6.451276383,21.73741842,-3.241808562,-8.556913356,8.884162847
5.672449927,3.513788974,6.91382463,12.50563754,1.579090344,4.273128097
28.26449382,6.707640338,19.08681212,1.178692353,-13.59095472,-3.8249305
52.44330109,25.26199997,13.7383923,36.72018546,16.27692582,12.11813479
10.17275363,8.017056709,4.085729274,5.611766989,2.343092022,4.027642117
24.71519939,5.993352274,17.38065957,11.39735022,-3.709617866,16.76985337
